Education,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,NumWebVisitsMonth,Complain,Response,Age,Relationship_Status,Children,Total_Household,Parent,Frequency,Monetary,Avg_Purchase_Value,Loyalty,Income_per_Household_Member,High_Spender,Promo_Responsive,Preferred_Category,Engagement_Score
Post-Grad,3986,437,8,206,160,49,42,6,0,1,81,Single,0,1,0,24,902.0,37.583333333333336,1,48948.0,1,1,Wines,2
Graduate,3899,421,76,536,82,178,102,4,0,0,44,Attached,1,3,1,21,1395.0,66.42857142857143,1,26670.333333333332,1,0,Meat,0
Post-Grad,3947,13,1,29,3,0,7,8,0,0,39,Attached,1,3,1,7,53.0,7.571428571428571,0,6853.0,0,0,Meat,0
Graduate,4025,9,0,6,3,1,3,5,0,0,67,Attached,1,3,1,4,22.0,5.5,0,7331.333333333333,0,0,Wines,0
Post-Grad,3743,3,1,10,3,2,12,5,0,0,49,Attached,1,3,1,8,31.0,3.875,0,2500.0,0,0,Gold,0
Graduate,3474,123,164,266,227,30,174,1,0,0,48,Single,0,1,0,16,984.0,61.5,1,79941.0,1,0,Meat,0
Pre-Grad,4070,3,18,14,15,22,50,9,0,1,28,Attached,0,2,0,10,122.0,12.2,0,3750.0,0,0,Gold,1
Graduate,3874,13,6,15,3,5,13,10,0,0,56,Attached,1,3,1,5,55.0,11.0,0,13909.333333333334,0,0,Meat,0
Post-Grad,4071,826,50,317,50,38,38,8,0,0,70,Attached,2,4,1,28,1319.0,47.107142857142854,1,18137.5,1,0,Wines,0
Graduate,3521,245,19,125,37,67,14,2,0,0,67,Single,1,2,1,17,507.0,29.823529411764707,1,32743.0,1,0,Wines,0
Post-Grad,4160,650,37,780,27,167,32,3,0,0,60,Attached,0,2,0,29,1693.0,58.37931034482759,1,39571.5,1,0,Meat,0
Graduate,4016,12,6,20,30,1,3,7,0,0,47,Single,1,2,1,7,72.0,10.285714285714286,0,17895.0,0,0,Fish,0
Graduate,3495,510,120,550,156,40,241,1,0,1,47,Single,0,1,0,21,1617.0,77.0,1,82582.0,1,1,Meat,2
Graduate,3855,328,9,124,12,24,109,3,0,0,46,Attached,2,4,1,23,606.0,26.347826086956523,1,16593.25,1,0,Wines,0
Post-Grad,4060,984,51,432,180,120,190,1,0,1,69,Attached,0,2,0,27,1957.0,72.48148148148148,1,41192.0,1,1,Wines,2
Graduate,3926,295,35,482,121,120,40,3,0,1,58,Single,0,1,0,21,1093.0,52.04761904761905,1,70287.0,1,0,Meat,1
Graduate,3535,13,0,8,2,1,5,3,0,0,36,Single,1,2,1,6,29.0,4.833333333333333,0,13969.0,0,0,Wines,0
Post-Grad,3591,447,0,28,0,0,43,7,0,0,56,Attached,1,3,1,19,518.0,27.263157894736842,1,18651.333333333332,1,0,Wines,0
Post-Grad,3833,712,26,538,69,13,80,1,0,1,42,Single,0,1,0,21,1438.0,68.47619047619048,1,75777.0,1,1,Wines,3
Graduate,4133,452,18,102,16,18,6,3,0,0,49,Attached,2,4,1,22,612.0,27.818181818181817,1,16663.25,1,0,Wines,0
Graduate,3969,523,7,134,37,14,169,7,0,0,72,Single,1,2,1,24,884.0,36.833333333333336,1,30911.5,1,0,Wines,0
Post-Grad,3856,546,0,48,0,6,6,5,0,0,73,Single,1,2,1,19,606.0,31.894736842105264,1,33840.0,1,0,Wines,0
Graduate,3678,398,40,367,119,122,30,4,0,0,76,Attached,0,2,0,16,1076.0,67.25,1,35333.0,1,0,Wines,0
Graduate,3877,1,3,6,3,6,15,7,0,1,53,Attached,1,3,1,5,34.0,6.8,0,8573.666666666666,0,0,Gold,1
Graduate,3522,10,0,1,0,0,0,7,0,0,57,Attached,2,4,1,4,11.0,2.75,0,8118.5,0,0,Wines,0
Pre-Grad,3575,688,14,309,201,24,38,5,0,1,45,Single,1,2,1,32,1274.0,39.8125,1,44097.0,1,1,Wines,2
Graduate,3748,247,49,159,7,82,109,4,0,0,66,Attached,1,3,1,18,653.0,36.27777777777778,1,23032.0,1,0,Wines,0
Graduate,3920,856,59,487,58,29,73,5,0,0,54,Attached,3,5,1,19,1562.0,82.21052631578948,1,14970.8,1,0,Wines,0
Post-Grad,4129,496,36,460,189,60,12,3,0,0,70,Attached,0,2,0,21,1253.0,59.666666666666664,1,33495.5,1,0,Wines,0
Graduate,3942,258,107,291,84,37,86,7,0,0,65,Attached,1,3,1,30,863.0,28.766666666666666,1,21677.0,1,0,Meat,0
Post-Grad,3923,565,6,65,0,6,19,7,0,0,49,Attached,2,4,1,24,661.0,27.541666666666668,1,15157.75,1,1,Wines,1
Graduate,3533,14,10,13,4,15,9,2,0,0,72,Attached,0,2,0,8,65.0,8.125,0,14166.0,0,0,Sweet,0
Graduate,4030,2,1,6,2,1,1,6,0,0,47,Single,1,2,1,4,13.0,3.25,0,20123.0,0,0,Meat,0
Post-Grad,4144,721,111,925,97,18,18,5,0,1,52,Attached,0,2,0,19,1890.0,99.47368421052632,1,37625.5,1,0,Meat,1
Graduate,4098,1032,105,779,137,105,51,4,0,1,48,Single,0,1,0,22,2126.0,100.4090909090909,1,75825.0,1,1,Wines,2
Pre-Grad,3771,1,0,5,0,3,9,3,1,0,48,Attached,0,2,0,4,18.0,4.5,0,13163.0,0,0,Gold,1
Graduate,4016,577,0,64,0,0,51,8,0,1,59,Attached,0,2,0,21,692.0,32.95238095238095,1,28023.0,1,1,Wines,2
Graduate,4142,64,4,68,7,5,17,8,0,0,39,Single,1,2,1,12,165.0,13.75,0,14880.0,0,0,Meat,0
Graduate,3844,4,1,5,2,0,4,7,0,0,55,Attached,1,3,1,4,16.0,4.0,0,8768.0,0,0,Meat,0
Pre-Grad,3834,25,5,19,7,0,23,7,0,0,51,Attached,1,3,1,9,79.0,8.777777777777779,0,7853.0,0,0,Wines,0
Post-Grad,3887,112,17,44,34,22,89,3,0,0,61,Attached,0,2,0,11,318.0,28.90909090909091,0,19310.0,0,0,Wines,0
Graduate,3597,163,23,424,27,65,76,1,0,0,37,Single,0,1,0,27,778.0,28.814814814814813,1,81361.0,1,0,Meat,0
Graduate,3795,17,8,14,10,4,3,7,0,0,64,Attached,2,4,1,7,56.0,8.0,0,7360.0,0,0,Wines,0
Post-Grad,3821,130,0,16,0,0,5,7,0,0,54,Attached,2,4,1,13,151.0,11.615384615384615,0,9034.5,0,1,Wines,1
Graduate,3505,292,6,37,0,3,34,7,0,1,67,Single,1,2,1,17,372.0,21.88235294117647,1,25194.0,0,1,Wines,2
Graduate,3521,350,60,568,110,133,145,2,0,0,51,Attached,0,2,0,19,1366.0,71.89473684210526,1,39796.5,1,1,Meat,1
Graduate,3632,135,9,39,4,0,7,2,0,0,57,Attached,1,3,1,10,194.0,19.4,0,18059.333333333332,0,0,Wines,0
Post-Grad,3571,15,2,10,0,1,4,7,0,0,52,Single,1,2,1,5,32.0,6.4,0,21197.0,0,0,Wines,0
Post-Grad,3509,27,2,14,0,0,0,5,0,0,54,Attached,1,3,1,10,43.0,4.3,0,7875.333333333333,0,0,Wines,0
Graduate,3511,5,3,11,12,5,9,6,0,0,41,Attached,1,3,1,6,45.0,7.5,0,10032.0,0,0,Fish,0
Graduate,4057,505,0,26,0,0,75,6,0,0,64,Single,1,2,1,22,606.0,27.545454545454547,1,23958.0,1,1,Wines,1
Graduate,3917,51,2,7,0,1,2,7,0,0,52,Single,2,3,1,7,63.0,9.0,0,17271.0,0,0,Wines,0
Pre-Grad,3683,207,26,447,75,0,223,2,0,0,73,Attached,0,2,0,25,978.0,39.12,1,39248.5,1,1,Meat,0
Post-Grad,3847,135,46,92,65,61,11,5,0,0,41,Attached,0,2,0,16,410.0,25.625,1,25075.0,1,0,Wines,0
Pre-Grad,3814,53,1,5,2,1,10,8,0,0,64,Single,1,2,1,7,72.0,10.285714285714286,0,23911.5,0,0,Wines,0
Post-Grad,3564,41,1,6,2,0,5,6,0,0,65,Single,1,2,1,7,55.0,7.857142857142857,0,17277.0,0,0,Wines,0
Graduate,3908,386,172,183,185,132,111,5,0,0,45,Attached,1,3,1,27,1169.0,43.2962962962963,1,28564.333333333332,1,0,Wines,0
Post-Grad,3881,562,81,276,80,40,81,4,0,0,79,Attached,0,2,0,16,1120.0,70.0,1,32923.0,1,0,Wines,0
Graduate,3525,217,76,690,50,26,38,1,0,1,65,Attached,0,2,0,20,1097.0,54.85,1,43597.5,1,0,Meat,1
Pre-Grad,3674,1,3,6,10,0,9,5,0,0,45,Attached,1,3,1,5,29.0,5.8,0,8198.0,0,0,Fish,0
Graduate,3751,144,1,32,2,1,7,7,0,0,60,Attached,2,4,1,13,187.0,14.384615384615385,0,12274.0,0,0,Wines,0
Graduate,3985,295,106,271,75,98,65,6,0,0,55,Attached,2,4,1,26,910.0,35.0,1,13103.25,1,0,Wines,0
Graduate,4030,76,3,31,4,4,27,7,0,0,46,Single,1,2,1,9,145.0,16.11111111111111,0,19278.5,0,0,Wines,0
Post-Grad,4042,454,194,106,31,22,43,2,0,0,64,Attached,0,2,0,14,850.0,60.714285714285715,0,44529.0,1,0,Wines,0
Graduate,3712,425,115,292,23,35,79,3,0,0,45,Attached,1,3,1,24,969.0,40.375,1,25766.0,1,0,Wines,0
Post-Grad,4069,1332,17,311,23,51,86,9,0,1,33,Single,0,1,0,17,1820.0,107.05882352941177,1,68126.0,1,1,Wines,2
Post-Grad,3477,527,0,21,0,0,60,6,0,0,61,Attached,1,3,1,20,608.0,30.4,1,19096.0,1,1,Wines,1
Graduate,4016,490,44,125,29,20,22,3,0,1,33,Single,0,1,0,25,730.0,29.2,1,86037.0,1,1,Wines,3
Post-Grad,4037,378,0,101,0,0,72,7,0,0,44,Attached,1,3,1,21,551.0,26.238095238095237,1,14658.0,1,0,Wines,0
Graduate,3765,64,1,21,0,1,27,6,0,0,62,Single,2,3,1,8,114.0,14.25,0,16928.333333333332,0,0,Wines,0
Graduate,3629,547,99,812,151,82,33,1,0,0,54,Attached,0,2,0,15,1724.0,114.93333333333334,0,45382.5,1,1,Meat,1
Pre-Grad,3968,47,90,94,123,103,120,9,0,0,46,Attached,1,3,1,20,577.0,28.85,1,12183.333333333334,1,0,Fish,0
Pre-Grad,3826,12,5,25,0,9,30,5,0,0,57,Attached,2,4,1,7,81.0,11.571428571428571,0,7688.25,0,0,Gold,0
Graduate,3700,1,6,7,11,5,3,6,0,0,55,Attached,1,3,1,7,33.0,4.714285714285714,0,7306.0,0,0,Fish,0
Post-Grad,3847,320,48,133,39,72,48,4,0,0,71,Attached,1,3,1,22,660.0,30.0,1,18709.666666666668,1,0,Wines,0
Post-Grad,3598,34,3,29,0,4,10,5,0,1,57,Single,1,2,1,9,80.0,8.88888888888889,0,16278.5,0,0,Wines,1
Post-Grad,3771,9,0,7,3,4,7,7,0,0,39,Attached,2,4,1,6,30.0,5.0,0,4877.5,0,0,Wines,0
Graduate,3906,17,0,14,7,3,2,7,0,0,48,Single,1,2,1,5,43.0,8.6,0,15496.0,0,0,Wines,0
Graduate,3947,722,27,102,44,72,168,2,0,1,41,Single,0,1,0,27,1135.0,42.03703703703704,1,101970.0,1,1,Wines,3
Pre-Grad,3969,162,33,124,40,28,172,1,0,0,59,Attached,0,2,0,16,559.0,34.9375,1,35744.0,1,0,Gold,0
Graduate,3907,450,133,951,173,0,216,1,0,1,40,Single,0,1,0,16,1923.0,120.1875,1,79607.0,1,0,Meat,1
Post-Grad,3494,70,0,16,0,0,4,6,0,0,71,Attached,2,4,1,8,90.0,11.25,0,13587.0,0,0,Wines,0
Post-Grad,3523,492,19,110,16,12,12,4,0,0,68,Attached,2,4,1,23,661.0,28.73913043478261,1,19344.0,1,0,Wines,0
Graduate,3745,120,58,73,65,89,58,5,0,0,72,Attached,1,3,1,19,463.0,24.36842105263158,1,20999.333333333332,1,0,Wines,0
Post-Grad,3949,534,5,47,0,5,41,8,0,0,66,Single,2,3,1,23,632.0,27.47826086956522,1,20443.666666666668,1,0,Wines,0
Graduate,3612,236,106,189,23,41,130,4,0,0,55,Attached,0,2,0,19,725.0,38.1578947368421,1,36724.0,1,0,Wines,0
Post-Grad,3792,220,0,33,3,0,23,8,0,0,60,Attached,2,4,1,16,279.0,17.4375,1,10387.75,0,0,Wines,0
Post-Grad,3942,796,14,590,38,44,0,3,0,0,57,Attached,0,2,0,23,1482.0,64.43478260869566,1,31490.5,1,1,Wines,1
Pre-Grad,4163,0,1,3,10,6,9,8,0,0,48,Single,1,2,1,6,29.0,4.833333333333333,0,4774.0,0,0,Fish,0
Post-Grad,3830,53,1,34,2,0,16,8,0,0,65,Attached,3,5,1,9,106.0,11.777777777777779,0,6752.4,0,0,Wines,0
Post-Grad,3514,15,0,8,4,2,20,5,0,1,51,Single,2,3,1,6,49.0,8.166666666666666,0,11953.333333333334,0,1,Gold,2
Post-Grad,3809,17,1,12,3,1,4,7,0,0,59,Single,2,3,1,7,38.0,5.428571428571429,0,12307.0,0,0,Wines,0
Post-Grad,4091,962,61,921,52,61,20,2,0,0,32,Single,0,1,0,22,2077.0,94.4090909090909,1,92859.0,1,0,Wines,0
Post-Grad,3700,738,0,232,13,20,50,7,0,1,48,Attached,1,3,1,17,1053.0,61.94117647058823,1,21701.333333333332,1,0,Wines,1
Graduate,3909,399,28,756,36,40,126,2,0,0,62,Attached,0,2,0,23,1385.0,60.21739130434783,1,43055.5,1,0,Meat,0
Post-Grad,3778,614,16,132,43,33,33,6,0,0,50,Single,1,2,1,25,871.0,34.84,1,34176.0,1,0,Wines,0
Graduate,3940,32,34,41,73,16,116,7,0,0,36,Attached,1,3,1,12,312.0,26.0,0,13961.0,0,0,Gold,0
Graduate,4092,598,16,141,32,41,49,8,0,0,48,Attached,2,4,1,15,877.0,58.46666666666667,0,14952.25,1,0,Wines,0
Graduate,4082,2,1,18,20,11,16,6,0,1,49,Attached,1,3,1,6,68.0,11.333333333333334,0,7985.666666666667,0,0,Fish,1
Graduate,3778,6,1,10,0,1,4,8,1,0,43,Attached,1,3,1,4,22.0,5.5,0,12849.0,0,0,Meat,1
Pre-Grad,4149,73,3,90,12,1,32,8,0,0,51,Attached,3,5,1,16,211.0,13.1875,1,7137.6,0,0,Meat,0
Post-Grad,3481,42,16,29,12,20,8,3,0,0,58,Attached,0,2,0,8,127.0,15.875,0,24802.5,0,0,Wines,0
Post-Grad,3539,295,21,78,39,13,13,3,0,0,71,Attached,2,4,1,16,459.0,28.6875,1,14838.5,1,0,Wines,0
Graduate,3587,346,17,48,23,13,13,6,0,0,55,Attached,1,3,1,19,460.0,24.210526315789473,1,21915.666666666668,1,1,Wines,1
Pre-Grad,4035,233,20,57,8,20,91,7,0,0,52,Attached,1,3,1,17,429.0,25.235294117647058,1,15448.0,1,0,Wines,0
Graduate,3521,5,7,24,19,14,20,6,0,0,36,Single,1,2,1,11,89.0,8.090909090909092,0,17088.0,0,0,Meat,0
Post-Grad,4101,888,0,57,0,0,76,5,0,0,72,Attached,1,3,1,26,1021.0,39.26923076923077,1,20336.666666666668,1,0,Wines,0
Graduate,3968,997,26,269,34,13,42,4,0,1,75,Attached,0,2,0,21,1381.0,65.76190476190476,1,34686.0,1,1,Wines,3
Graduate,3829,212,6,69,4,12,3,7,0,0,66,Single,1,2,1,15,306.0,20.4,0,24983.5,0,0,Wines,0
Graduate,3763,8,1,7,2,0,0,4,0,0,46,Single,3,4,1,4,18.0,4.5,0,15049.75,0,0,Wines,0
Graduate,3728,42,11,57,10,28,14,2,0,0,47,Attached,1,3,1,9,162.0,18.0,0,18458.333333333332,0,0,Meat,0
Graduate,3786,536,11,387,149,91,57,1,0,0,69,Single,0,1,0,18,1231.0,68.38888888888889,1,80317.0,1,0,Wines,0
Post-Grad,3836,5,0,3,0,0,5,7,0,0,66,Single,3,4,1,4,13.0,3.25,0,7630.75,0,0,Wines,0
Post-Grad,4074,1349,16,249,43,16,33,6,0,0,79,Attached,0,2,0,27,1706.0,63.18518518518518,1,35178.0,1,0,Wines,0
Graduate,3648,53,3,49,7,4,5,8,0,0,40,Attached,1,3,1,11,121.0,11.0,0,7742.666666666667,0,0,Wines,0
Post-Grad,3897,1001,12,240,16,12,12,2,0,0,49,Single,0,1,0,20,1293.0,64.65,1,74165.0,1,0,Wines,0
Post-Grad,3593,20,2,1582,1,2,1,0,0,0,51,Attached,1,3,1,37,1608.0,43.45945945945946,1,52414.333333333336,1,0,Meat,0
Graduate,3701,18,1,32,6,3,28,6,0,0,58,Attached,3,5,1,9,88.0,9.777777777777779,0,8696.4,0,0,Meat,0
Graduate,3696,125,16,98,134,21,27,3,0,0,71,Single,0,1,0,18,421.0,23.38888888888889,1,62551.0,1,1,Fish,1
Graduate,3778,212,5,33,7,0,2,4,0,0,65,Single,0,1,0,12,259.0,21.583333333333332,0,52332.0,0,1,Wines,1
Graduate,3712,277,162,305,173,76,124,1,0,0,36,Single,0,1,0,15,1117.0,74.46666666666667,0,66951.0,1,0,Meat,0
Graduate,3597,15,10,19,8,17,20,5,0,0,67,Attached,2,4,1,9,89.0,9.88888888888889,0,6522.75,0,0,Gold,0
Graduate,3542,7,3,10,8,1,7,7,0,0,59,Attached,2,4,1,6,36.0,6.0,0,8364.0,0,0,Meat,0
Graduate,3824,12,4,6,11,8,16,8,0,0,42,Attached,1,3,1,7,57.0,8.142857142857142,0,9572.666666666666,0,0,Gold,0
Graduate,3542,85,7,24,2,3,27,6,0,0,54,Attached,2,4,1,8,148.0,18.5,0,12611.75,0,0,Wines,0
Post-Grad,3623,81,0,6,0,0,6,5,0,0,65,Attached,2,4,1,8,93.0,11.625,0,13384.25,0,0,Wines,0
Graduate,3559,59,0,12,0,0,48,4,0,0,57,Single,1,2,1,7,119.0,17.0,0,26037.0,0,1,Wines,1
Post-Grad,4128,1149,71,449,69,71,26,5,0,0,49,Attached,1,3,1,28,1835.0,65.53571428571429,1,26809.0,1,0,Wines,0
Post-Grad,4033,847,66,119,86,89,111,4,0,1,76,Attached,0,2,0,25,1318.0,52.72,1,41918.5,1,1,Wines,2
Post-Grad,3510,29,0,14,0,0,2,7,0,0,54,Attached,2,4,1,7,45.0,6.428571428571429,0,9713.25,0,0,Wines,0
Graduate,3478,2,0,5,2,0,1,2,0,0,65,Attached,3,5,1,4,10.0,2.5,0,7657.0,0,0,Meat,0
Pre-Grad,3683,207,26,447,75,0,223,2,0,0,73,Attached,0,2,0,25,978.0,39.12,1,39248.5,1,1,Meat,0
Post-Grad,3522,152,3,22,2,5,7,5,0,0,48,Attached,1,3,1,10,191.0,19.1,0,17216.666666666668,0,0,Wines,0
Pre-Grad,3523,12,11,10,3,12,9,6,0,0,36,Attached,1,3,1,9,57.0,6.333333333333333,0,5416.0,0,0,Wines,0
Post-Grad,3747,620,26,195,34,17,141,2,0,0,78,Attached,0,2,0,24,1033.0,43.041666666666664,1,33417.5,1,0,Wines,0
Post-Grad,3631,47,1,6,0,0,12,6,0,0,40,Attached,1,3,1,6,66.0,11.0,0,10159.0,0,0,Wines,0
Pre-Grad,3487,1,9,7,2,14,10,6,0,0,63,Attached,0,2,0,6,43.0,7.166666666666667,0,14124.5,0,0,Sweet,0
Graduate,4044,10,1,18,10,4,7,9,0,0,41,Attached,1,3,1,5,50.0,10.0,0,8423.666666666666,0,0,Meat,0
Post-Grad,3586,35,0,2,0,0,2,5,0,0,54,Single,1,2,1,7,39.0,5.571428571428571,0,16151.5,0,0,Wines,0
Graduate,3804,356,0,107,19,9,117,5,0,0,58,Attached,1,3,1,18,608.0,33.77777777777778,1,20428.666666666668,1,0,Wines,0
Graduate,3940,783,30,537,140,76,15,2,0,0,48,Attached,0,2,0,24,1581.0,65.875,1,37034.0,1,0,Wines,0
Post-Grad,3964,42,1,18,3,0,4,7,0,0,60,Attached,2,4,1,7,68.0,9.714285714285714,0,11439.75,0,0,Wines,0
Pre-Grad,4131,1,4,10,29,0,36,6,0,0,46,Attached,1,3,1,5,80.0,16.0,0,8294.0,0,1,Gold,1
Post-Grad,3881,466,22,432,147,113,102,3,0,0,35,Attached,0,2,0,28,1282.0,45.785714285714285,1,33486.5,1,0,Wines,0
Pre-Grad,3749,15,6,8,7,4,25,5,1,0,124,Single,1,2,1,6,65.0,10.833333333333334,0,18320.0,0,0,Gold,1
Graduate,3868,23,3,21,3,19,22,8,0,0,36,Attached,1,3,1,8,91.0,11.375,0,12957.333333333334,0,0,Wines,0
Graduate,3969,235,6,45,8,9,12,6,0,0,51,Attached,2,4,1,16,315.0,19.6875,1,12787.0,0,0,Wines,0
Graduate,3655,10,0,10,3,1,7,8,0,0,47,Attached,2,4,1,6,31.0,5.166666666666667,0,7838.25,0,0,Wines,0
Post-Grad,3520,656,16,106,32,16,8,3,0,0,44,Attached,0,2,0,23,834.0,36.26086956521739,1,34830.5,1,0,Wines,0
Graduate,3756,519,17,813,27,173,51,2,0,0,70,Attached,0,2,0,17,1600.0,94.11764705882354,1,40033.5,1,1,Meat,1
Graduate,4001,344,189,482,50,33,172,2,0,0,70,Attached,0,2,0,17,1270.0,74.70588235294117,1,43359.0,1,0,Meat,0
Post-Grad,3563,96,1,79,7,1,79,8,0,1,51,Single,2,3,1,15,263.0,17.533333333333335,0,15618.0,0,1,Wines,2
Graduate,3473,448,4,34,6,4,39,5,0,0,72,Single,1,2,1,19,535.0,28.157894736842106,1,34571.0,1,1,Wines,1
Graduate,3675,265,138,553,224,23,92,1,0,0,56,Single,0,1,0,18,1295.0,71.94444444444444,1,75922.0,1,0,Meat,0
Graduate,3731,587,43,337,42,87,54,6,0,0,46,Single,1,2,1,29,1150.0,39.6551724137931,1,31846.5,1,0,Wines,0
Post-Grad,4077,763,29,138,76,176,58,4,0,1,47,Attached,0,2,0,26,1240.0,47.69230769230769,1,51080.0,1,1,Wines,3
Post-Grad,3820,22,0,13,0,0,3,7,0,0,59,Single,2,3,1,6,38.0,6.333333333333333,0,13545.666666666666,0,0,Wines,0
Post-Grad,4069,6,4,1,7,2,15,6,0,1,40,Single,0,1,0,4,35.0,8.75,0,18890.0,0,1,Gold,2
Graduate,3676,7,6,13,7,6,14,9,0,0,36,Attached,1,3,1,5,53.0,10.6,0,9868.0,0,1,Gold,1
Post-Grad,3885,81,18,113,47,13,21,6,0,0,61,Single,2,3,1,17,293.0,17.235294117647058,1,16240.333333333334,0,0,Meat,0
Graduate,3494,54,0,7,0,0,4,6,0,0,58,Attached,1,3,1,6,65.0,10.833333333333334,0,14931.333333333334,0,0,Wines,0
